,MP3: BitRate = 32 kb/s,MP3: BitRate = 96 kb/s,MP3: BitRate = 128 kb/s,MP3: BitRate = 160 kb/s,MP3: BitRate = 192 kb/s,MP3: BitRate = 256 kb/s,MP3: BitRate = 320 kb/s,WAV: Bit Depth = 8,WAV: Bit Depth = 16,WAV: Bit Depth = 24
4000,"[92.84417724609375, 92.66450500488281, 93.24382781982422, 90.37317657470703, 93.70240783691406, 92.94134521484375, 93.43048858642578, 91.82122039794922, 92.19849395751953, 91.92101287841797, 93.1860122680664]","[92.64177703857422, 91.09779357910156, 93.37274169921875, 92.46073150634766, 93.73104095458984, 92.78843688964844, 92.81316375732422, 92.56485748291016, 92.62246704101562, 93.30736541748047, 93.548583984375]","[92.60662841796875, 93.29241180419922, 93.0491714477539, 92.74542999267578, 92.97999572753906, 92.9621810913086, 97.16370391845703, 92.94024658203125, 93.78170013427734, 93.22196960449219, 92.5108642578125]","[92.62522888183594, 94.23063659667969, 93.49012756347656, 93.2773208618164, 93.29171752929688, 92.40393829345703, 93.49710845947266, 92.96429443359375, 89.89018249511719, 92.402587890625, 89.89283752441406]","[92.47846221923828, 92.73484802246094, 92.57571411132812, 92.9027099609375, 92.65936279296875, 92.99085998535156, 93.33112335205078, 92.58142852783203, 92.40259552001953, 90.767333984375, 91.17021179199219]","[92.82786560058594, 90.44081115722656, 93.21189880371094, 92.94505310058594, 93.07575225830078, 92.86511993408203, 93.19558715820312, 92.5939712524414, 92.92570495605469, 92.25936126708984, 89.29784393310547]","[90.92418670654297, 93.29052734375, 93.82978820800781, 92.91690826416016, 92.88713836669922, 92.58892059326172, 92.84160614013672, 93.83390045166016, 93.09566497802734, 93.55142211914062, 93.34483337402344]","[101.9719009399414, 102.94754791259766, 102.53565216064453, 102.21089935302734, 103.3526382446289, 101.96050262451172, 101.35162353515625, 102.03526306152344, 113.58221435546875, 101.75598907470703, 102.94549560546875]","[99.16441345214844, 98.50422668457031, 98.7589111328125, 99.44465637207031, 96.80744171142578, 99.41448211669922, 99.276611328125, 98.7518310546875, 99.00558471679688, 99.1228256225586, 98.82939147949219]","[94.11951446533203, 102.17031860351562, 101.22650146484375, 101.9999771118164, 102.5520248413086, 102.10835266113281, 101.85728454589844, 103.00682067871094, 101.33856201171875, 101.12588500976562, 101.88981628417969]"
6000,"[77.77152252197266, 77.3280029296875, 77.82298278808594, 77.83680725097656, 61.00551223754883, 77.56900024414062, 77.56959533691406, 74.61807250976562, 77.38261413574219, 77.46912384033203, 77.57839965820312]","[77.60842895507812, 77.32257080078125, 77.4666519165039, 77.63186645507812, 78.64923095703125, 77.86688995361328, 78.82945251464844, 77.77278900146484, 76.60665130615234, 71.19380950927734, 77.6151123046875]","[67.19747161865234, 77.38260650634766, 77.6753921508789, 76.13795471191406, 78.88291931152344, 75.17300415039062, 77.3675765991211, 77.44770050048828, 73.24349212646484, 77.50477600097656, 77.40369415283203]","[65.16471862792969, 74.19116973876953, 76.79889678955078, 76.83678436279297, 77.91657257080078, 77.4354019165039, 74.32682037353516, 78.3132553100586, 77.18919372558594, 77.271240234375, 77.45629119873047]","[77.44464111328125, 77.79510498046875, 77.07327270507812, 65.47225952148438, 77.08939361572266, 78.49878692626953, 77.64320373535156, 77.06330108642578, 77.47344970703125, 77.85645294189453, 75.619873046875]","[74.90984344482422, 77.0755615234375, 77.61941528320312, 78.29808044433594, 77.2869873046875, 77.71519470214844, 77.6373519897461, 73.72830200195312, 76.60905456542969, 77.32379150390625, 72.93640899658203]","[77.2454605102539, 77.51251983642578, 73.77763366699219, 72.45844268798828, 77.5235824584961, 77.41732788085938, 73.8302001953125, 78.03639221191406, 77.6688461303711, 77.13580322265625, 77.50804138183594]","[76.90707397460938, 77.2305908203125, 77.09761810302734, 76.87946319580078, 76.73677062988281, 49.377357482910156, 76.61046600341797, 76.69112396240234, 73.83882904052734, 77.64409637451172, 76.9407958984375]","[75.9778060913086, 75.61268615722656, 75.86056518554688, 76.10612487792969, 75.93756866455078, 76.07086944580078, 76.87332916259766, 76.64341735839844, 76.80069732666016, 76.18879699707031, 77.14191436767578]","[77.02432250976562, 53.35484313964844, 77.12340545654297, 76.4022216796875, 76.03848266601562, 76.547607421875, 76.6290512084961, 76.69097900390625, 77.07903289794922, 76.83428192138672, 76.75262451171875]"
8000,"[70.9465103149414, 69.0388412475586, 68.61782836914062, 69.13915252685547, 67.37197875976562, 69.27645874023438, 68.47234344482422, 69.0123291015625, 69.22604370117188, 69.0938720703125, 56.38975143432617]","[70.37049102783203, 68.80958557128906, 68.5433578491211, 68.11394500732422, 68.4176025390625, 52.341766357421875, 66.06517791748047, 68.44100952148438, 68.4309310913086, 69.04804992675781, 67.18408966064453]","[68.31468200683594, 68.52752685546875, 70.69058227539062, 68.49311828613281, 55.41595458984375, 68.33199310302734, 70.346435546875, 68.44770050048828, 68.73665618896484, 69.097412109375, 68.26759338378906]","[68.47554779052734, 61.32926940917969, 68.57140350341797, 68.15765380859375, 68.22010803222656, 68.40434265136719, 68.48095703125, 68.2647476196289, 68.56175994873047, 68.47459411621094, 68.94338989257812]","[68.63345336914062, 68.47681427001953, 68.7370376586914, 65.86998748779297, 67.87364196777344, 70.50519561767578, 68.55270385742188, 68.98666381835938, 68.66383361816406, 68.32423400878906, 75.6810073852539]","[68.4240951538086, 68.53362274169922, 68.50310516357422, 59.30689239501953, 68.07418823242188, 68.82655334472656, 68.67837524414062, 68.5318603515625, 68.57643127441406, 65.25031280517578, 67.68252563476562]","[68.25360107421875, 64.07037353515625, 68.94332885742188, 68.28491973876953, 65.97857666015625, 68.84207153320312, 68.5628433227539, 68.25536346435547, 68.569091796875, 68.49563598632812, 68.62346649169922]","[68.91688537597656, 70.12474822998047, 69.0219955444336, 69.64994049072266, 68.78644561767578, 69.37022399902344, 65.92273712158203, 66.03954315185547, 68.7951889038086, 68.92137908935547, 48.70232009887695]","[68.60477447509766, 68.36180877685547, 68.09783172607422, 68.50971984863281, 68.19418334960938, 68.65557098388672, 68.8408432006836, 59.34765625, 68.79007720947266, 69.5052490234375, 68.7711181640625]","[68.75054931640625, 70.61198425292969, 70.0207748413086, 60.83053970336914, 68.99384307861328, 68.06044006347656, 68.2342758178711, 69.563232421875, 68.5794448852539, 68.72809600830078, 68.99671936035156]"
10000,"[60.19664764404297, 59.93723678588867, 60.86833953857422, 60.179046630859375, 61.047183990478516, 64.01971435546875, 60.17264938354492, 60.30192565917969, 61.04933166503906, 60.01544189453125, 60.34917449951172]","[56.88136291503906, 58.835872650146484, 59.43265151977539, 58.14240264892578, 58.7454948425293, 58.71599578857422, 57.929100036621094, 59.043331146240234, 58.697288513183594, 58.22296142578125, 59.325035095214844]","[56.77030944824219, 59.223060607910156, 59.209991455078125, 58.199283599853516, 56.923057556152344, 59.252681732177734, 71.0963134765625, 58.79256057739258, 58.79782485961914, 58.39741516113281, 59.80577850341797]","[59.64546203613281, 59.195621490478516, 59.255767822265625, 68.96065521240234, 59.09770202636719, 58.00791931152344, 59.458961486816406, 59.44709777832031, 59.068538665771484, 59.028133392333984, 59.16657257080078]","[58.97122573852539, 58.276466369628906, 59.128082275390625, 58.575103759765625, 59.26298141479492, 59.09351348876953, 58.604244232177734, 58.67287063598633, 58.31797409057617, 61.55715560913086, 59.87702560424805]","[59.45269775390625, 59.08529281616211, 58.569664001464844, 58.85086441040039, 57.915531158447266, 62.565364837646484, 58.132713317871094, 59.98438262939453, 58.901363372802734, 58.23362350463867, 56.79817581176758]","[58.77584457397461, 58.29841232299805, 58.205570220947266, 59.226097106933594, 58.09217071533203, 59.69792175292969, 58.454105377197266, 59.34430694580078, 57.98854446411133, 57.278079986572266, 56.53968811035156]","[56.362728118896484, 56.261451721191406, 55.85713577270508, 56.81463623046875, 55.82549285888672, 56.00585174560547, 56.18962097167969, 55.4400749206543, 55.07930374145508, 55.192352294921875, 55.19422912597656]","[53.441864013671875, 53.12889862060547, 52.670188903808594, 62.302005767822266, 53.056129455566406, 53.0472526550293, 53.111083984375, 53.49336624145508, 54.1683235168457, 52.844688415527344, 53.29447937011719]","[55.53314971923828, 54.35356903076172, 54.677330017089844, 56.40457534790039, 55.66584396362305, 55.138214111328125, 54.08495330810547, 53.83428955078125, 55.688148498535156, 52.934234619140625, 55.64170837402344]"
12000,"[59.67426681518555, 63.9812126159668, 65.23621368408203, 64.5552749633789, 63.91721725463867, 65.17091369628906, 64.82682037353516, 65.48748016357422, 64.66295623779297, 64.08842468261719, 65.2010726928711]","[63.933406829833984, 64.36241149902344, 64.43267822265625, 61.39700698852539, 62.81947708129883, 61.32927322387695, 62.79226303100586, 62.14516830444336, 63.50577163696289, 62.36389923095703, 64.92893981933594]","[63.813987731933594, 64.72222137451172, 64.20157623291016, 63.76481246948242, 63.30904769897461, 64.49468231201172, 63.854339599609375, 64.82291412353516, 63.42731475830078, 64.03438568115234, 62.31497573852539]","[64.58059692382812, 64.20027923583984, 64.64157104492188, 64.71271514892578, 60.14509201049805, 64.37903594970703, 64.74654388427734, 62.11259841918945, 63.71649169921875, 64.13911437988281, 63.72749710083008]","[63.85784149169922, 64.02801513671875, 64.40120697021484, 67.9888687133789, 64.86160278320312, 63.75286865234375, 63.96932601928711, 64.99250793457031, 64.5811767578125, 64.59687805175781, 63.81026077270508]","[64.0286865234375, 63.32854461669922, 64.68830108642578, 64.00870513916016, 63.37471389770508, 63.968265533447266, 63.65978240966797, 64.878173828125, 65.19744873046875, 63.95323944091797, 71.92405700683594]","[63.20951461791992, 64.97956085205078, 63.6298942565918, 63.223114013671875, 63.348297119140625, 63.446372985839844, 63.860992431640625, 64.62984466552734, 63.56089782714844, 64.47905731201172, 64.52960968017578]","[61.22722625732422, 62.22986602783203, 52.25300979614258, 61.11832809448242, 61.5919075012207, 61.90896987915039, 62.09682846069336, 61.44508361816406, 61.94912338256836, 62.290836334228516, 61.95331573486328]","[61.27560806274414, 61.820709228515625, 58.63893508911133, 61.22090530395508, 59.04497528076172, 61.648704528808594, 60.884429931640625, 61.324440002441406, 61.95064926147461, 61.727481842041016, 59.73715591430664]","[60.94683837890625, 61.5236930847168, 61.95861053466797, 61.76376724243164, 61.457637786865234, 59.7528190612793, 61.87554168701172, 60.878639221191406, 60.92829513549805, 61.63676834106445, 61.982852935791016]"
16000,"[58.47718811035156, 59.37059783935547, 66.53842163085938, 57.64921188354492, 59.07698440551758, 57.804080963134766, 59.826087951660156, 59.893524169921875, 57.98320770263672, 59.75563430786133, 59.6349983215332]","[57.25086975097656, 59.15900421142578, 56.606781005859375, 58.521026611328125, 58.237876892089844, 58.34906005859375, 57.271202087402344, 58.33280563354492, 61.71994400024414, 58.035640716552734, 57.25942611694336]","[57.945125579833984, 57.317264556884766, 58.04792404174805, 56.326358795166016, 59.998409271240234, 58.22255325317383, 56.94620132446289, 57.64209747314453, 58.901607513427734, 58.33279037475586, 57.720550537109375]","[61.21004104614258, 58.22382736206055, 57.76118469238281, 58.564449310302734, 56.564613342285156, 57.7301139831543, 58.3471565246582, 56.99388122558594, 57.756752014160156, 58.792415618896484, 57.35792541503906]","[57.78461837768555, 57.51576232910156, 58.28710174560547, 56.99818801879883, 58.57653045654297, 57.81803512573242, 57.99789047241211, 60.31154251098633, 58.31543731689453, 57.96269989013672, 56.9643669128418]","[58.79780960083008, 56.55836486816406, 58.39048385620117, 58.23800277709961, 57.97447204589844, 57.06210708618164, 69.07461547851562, 58.36827087402344, 57.292171478271484, 57.87225341796875, 57.499820709228516]","[59.03462219238281, 58.809452056884766, 58.38106918334961, 57.65193557739258, 57.66164016723633, 58.08894348144531, 58.42793655395508, 56.6839714050293, 57.45002746582031, 58.06367874145508, 83.26737213134766]","[54.8253059387207, 54.962318420410156, 54.99211502075195, 55.39413833618164, 55.29900360107422, 54.18646240234375, 52.263545989990234, 55.12539291381836, 54.041114807128906, 54.67882537841797, 47.294647216796875]","[52.53336715698242, 54.92808532714844, 53.706199645996094, 52.98940658569336, 55.344276428222656, 55.06257247924805, 51.11253356933594, 53.95875930786133, 54.60321044921875, 54.47615432739258, 54.24770736694336]","[54.139854431152344, 55.16352462768555, 54.37263107299805, 55.143150329589844, 54.58510208129883, 54.609535217285156, 54.51631546020508, 54.1721076965332, 45.92153549194336, 55.17700958251953, 55.473304748535156]"
20000,"[63.52247619628906, 61.60016632080078, 64.09452056884766, 64.04679107666016, 63.13823699951172, 62.334136962890625, 62.546749114990234, 63.22288131713867, 60.33610916137695, 61.78694152832031, 60.210716247558594]","[47.53371047973633, 51.41139602661133, 51.04194259643555, 50.99888610839844, 51.48966979980469, 49.473079681396484, 52.0132942199707, 51.05323791503906, 51.14342498779297, 51.33567428588867, 51.99354934692383]","[50.87626647949219, 49.34088134765625, 51.400638580322266, 50.60211181640625, 50.96567153930664, 48.001136779785156, 51.83498001098633, 51.373802185058594, 51.126407623291016, 49.55403518676758, 52.055355072021484]","[51.33607864379883, 50.5691032409668, 50.98505783081055, 50.20421600341797, 50.89080810546875, 50.03679656982422, 51.66742706298828, 58.29299545288086, 50.46924591064453, 50.76979446411133, 50.60272216796875]","[53.57597351074219, 52.409366607666016, 50.41679382324219, 51.023460388183594, 50.913516998291016, 50.57421112060547, 51.59115982055664, 51.60560607910156, 50.43315505981445, 52.12107849121094, 50.71768569946289]","[50.194419860839844, 51.2032356262207, 55.062171936035156, 50.90901565551758, 48.98624801635742, 50.3099250793457, 50.707008361816406, 51.058799743652344, 52.09653091430664, 50.55562973022461, 51.74246597290039]","[51.57313919067383, 52.08461380004883, 50.9091911315918, 51.45892333984375, 54.751277923583984, 50.29294204711914, 51.32365036010742, 51.46326446533203, 50.220375061035156, 51.55479431152344, 50.6739387512207]","[55.55607604980469, 55.7260856628418, 56.018856048583984, 56.03666305541992, 55.68126678466797, 55.54493713378906, 56.22551727294922, 56.13804626464844, 56.2613639831543, 55.367061614990234, 53.92214584350586]","[56.54623031616211, 56.104000091552734, 56.63683319091797, 55.502601623535156, 55.76047134399414, 56.26522445678711, 55.724769592285156, 55.1368293762207, 54.58783721923828, 56.22081756591797, 55.70394515991211]","[55.16224670410156, 55.91337203979492, 54.712284088134766, 55.224334716796875, 55.98035430908203, 54.54655456542969, 55.99335861206055, 55.04890823364258, 55.61753845214844, 60.180335998535156, 55.14076614379883]"
24000,"[60.54731750488281, 60.24021530151367, 60.393314361572266, 59.90363693237305, 60.12409591674805, 61.08844757080078, 60.23670959472656, 60.81022262573242, 59.1931037902832, 60.0743522644043, 60.560062408447266]","[41.1684455871582, 37.97684860229492, 35.894771575927734, 40.96094512939453, 39.84151840209961, 40.331825256347656, 39.74225997924805, 40.87353515625, 40.11650848388672, 42.14180374145508, 40.400291442871094]","[39.74197006225586, 39.7374382019043, 40.99073791503906, 39.152198791503906, 39.70014953613281, 39.137054443359375, 40.537742614746094, 41.10651779174805, 59.864234924316406, 39.48497772216797, 40.55991744995117]","[40.973175048828125, 38.479942321777344, 32.02567672729492, 40.30973815917969, 38.93527603149414, 39.74911880493164, 40.88901901245117, 38.726585388183594, 40.966949462890625, 39.421546936035156, 40.300540924072266]","[38.78255844116211, 39.287864685058594, 40.51078796386719, 40.065147399902344, 38.93339538574219, 39.99614715576172, 38.358028411865234, 73.32262420654297, 40.291465759277344, 38.86075210571289, 40.45993423461914]","[38.9498291015625, 39.57706832885742, 65.32630920410156, 40.96625900268555, 41.27914047241211, 39.3487434387207, 38.791473388671875, 39.69971466064453, 38.97223663330078, 38.58287048339844, 37.96058654785156]","[40.22223663330078, 40.59192657470703, 39.07950210571289, 39.09832763671875, 38.64295196533203, 68.64122772216797, 40.69055938720703, 39.25104522705078, 39.25122833251953, 39.177024841308594, 39.568538665771484]","[44.442386627197266, 46.11878204345703, 44.84124755859375, 44.56593322753906, 46.109779357910156, 44.45890426635742, 44.46394348144531, 45.71795654296875, 47.113365173339844, 45.20942687988281, 40.023536682128906]","[43.82718276977539, 44.86454391479492, 44.05325698852539, 44.66769790649414, 43.96781539916992, 41.19317626953125, 45.24058151245117, 27.545978546142578, 43.497535705566406, 40.54277038574219, 44.68008804321289]","[43.85634231567383, 44.759368896484375, 42.411460876464844, 44.8049430847168, 44.613040924072266, 38.18785095214844, 42.015899658203125, 41.31105422973633, 43.925350189208984, 42.56981658935547, 45.72926712036133]"
28000,"[64.79483032226562, 64.79367065429688, 64.8349380493164, 65.40839385986328, 66.0868911743164, 65.7454833984375, 70.07391357421875, 66.13282775878906, 64.98929595947266, 66.37479400634766, 66.88172912597656]","[40.07415771484375, 38.761417388916016, 37.61109924316406, 40.33302307128906, 38.545066833496094, 38.35380554199219, 39.443851470947266, 39.01423645019531, 37.864471435546875, 37.64867401123047, 38.236228942871094]","[35.83852005004883, 38.569679260253906, 40.267974853515625, 38.185604095458984, 40.709869384765625, 38.62854766845703, 38.47024917602539, 39.395103454589844, 39.51621627807617, 38.688331604003906, 37.09535217285156]","[40.66056442260742, 38.29719543457031, 37.60011291503906, 38.67509078979492, 37.766082763671875, 38.61260986328125, 39.437137603759766, 35.191650390625, 39.15898513793945, 38.30783462524414, 46.54343795776367]","[39.455204010009766, 41.18207550048828, 40.67726135253906, 40.79007339477539, 39.996341705322266, 41.37160873413086, 35.83457565307617, 39.531131744384766, 42.0527458190918, 55.296539306640625, 40.335060119628906]","[42.9909553527832, 42.2464485168457, 42.725860595703125, 40.106056213378906, 42.5301513671875, 41.392608642578125, 43.883567810058594, 43.492610931396484, 43.56654357910156, 42.7638053894043, 43.35127639770508]","[42.89037322998047, 44.693580627441406, 42.88063049316406, 44.15968322753906, 40.808658599853516, 43.25184631347656, 43.48809814453125, 42.723487854003906, 43.82917785644531, 44.54779052734375, 53.403114318847656]","[43.038822174072266, 42.88857650756836, 43.7044677734375, 43.587318420410156, 42.255916595458984, 44.09011459350586, 43.2136344909668, 42.89441680908203, 42.96522521972656, 41.679569244384766, 44.377559661865234]","[42.77522659301758, 43.371551513671875, 44.496158599853516, 43.82020950317383, 43.290618896484375, 43.03657913208008, 42.7672119140625, 43.98485565185547, 43.6591796875, 41.82237243652344, 45.182865142822266]","[43.922672271728516, 42.95596694946289, 43.42858123779297, 43.97422790527344, 44.04668045043945, 43.56996536254883, 42.46722412109375, 51.8292236328125, 43.42424011230469, 42.390960693359375, 44.142581939697266]"
32000,"[67.1549301147461, 66.6964111328125, 56.363033294677734, 62.513755798339844, 65.1314926147461, 66.43708801269531, 67.16523742675781, 65.5881576538086, 66.9755630493164, 66.25543975830078, 65.58344268798828]","[41.57738494873047, 40.924747467041016, 41.43513107299805, 38.79945755004883, 40.35787582397461, 40.355079650878906, 40.07963943481445, 46.76174545288086, 39.767250061035156, 39.10689163208008, 39.87260437011719]","[40.33993911743164, 38.94029235839844, 38.66757583618164, 39.47737503051758, 38.96318054199219, 39.2481689453125, 39.563297271728516, 38.77960968017578, 47.95054244995117, 39.845035552978516, 39.06781005859375]","[39.66748046875, 40.30512619018555, 41.4971923828125, 39.98812484741211, 38.73002624511719, 39.27314758300781, 37.86003112792969, 38.51506042480469, 39.025516510009766, 34.86100387573242, 37.34204864501953]","[41.073116302490234, 39.8975715637207, 39.742347717285156, 40.421409606933594, 38.05860137939453, 39.76799774169922, 40.973785400390625, 40.637603759765625, 39.02074432373047, 39.01342010498047, 40.88397216796875]","[43.93792724609375, 43.90968704223633, 43.18620681762695, 44.17509078979492, 43.56698226928711, 48.43332290649414, 43.87313461303711, 42.44868850708008, 42.9112548828125, 43.49528884887695, 40.31722640991211]","[39.74964141845703, 44.042022705078125, 37.68060302734375, 43.75172805786133, 44.414451599121094, 43.95216751098633, 43.10791778564453, 44.25547409057617, 43.38474655151367, 44.38711929321289, 43.71546173095703]","[43.403133392333984, 44.1967887878418, 43.414981842041016, 44.244773864746094, 43.31730270385742, 41.13420486450195, 40.597007751464844, 43.559383392333984, 44.578025817871094, 42.73857498168945, 44.076690673828125]","[43.25954818725586, 43.0357551574707, 63.21297073364258, 43.39634323120117, 44.444984436035156, 43.676239013671875, 44.41694641113281, 43.65373611450195, 43.47343826293945, 43.64562225341797, 44.0045280456543]","[44.18670654296875, 45.22578048706055, 52.635292053222656, 44.64910125732422, 43.12424087524414, 42.855438232421875, 41.77192306518555, 43.47714614868164, 43.84843444824219, 44.087013244628906, 43.55027770996094]"
